t[s],Accel_Longitudinal[g],GPSVehicleSpeed[km/h],lynk_AccPedPos2[%],lynk_EngineSpeed[rpm],lynk_EnToqWInt[-],lynk_GearPosDes[]
0,0.014,0.267228007,0,948,0,1
0.05,0.016098471,0.272882037,0,949.0561782,0,1
0.1,0.013187821,0.272331276,0,949.6271192,0,1
0.15,0.018537098,0.251794205,0,950,0,1
0.2,0.013915192,0.237803923,0,948.780577,0,1
0.25,0.018631053,0.257386003,0,945.84401,0,1
0.3,0.011758133,0.276519,0,945.9448192,0.920030413,1
0.35,0.016742225,0.272739865,0,947,0.550901904,1
0.4,0.016123034,0.263019452,0,947.4009935,0,1
0.45,0.015248547,0.266308063,0,946.1565254,0.073219709,1
0.5,0.016395273,0.269765038,0,947.2237087,0,1
0.55,0.013364412,0.262679602,0,948.3848438,0,1
0.6,0.018953541,0.239854146,0,947.9460847,0,1
0.65,0.015232667,0.209355846,0,947.709709,0,1
0.7,0.016210903,0.183771607,0,949.3702077,0,1
0.75,0.01588774,0.190264052,0,950.6079505,0,1
0.8,0.015106193,0.209950784,0,951.5,0,1
0.85,0.016570725,0.212841517,0,951.3763033,0,1
0.9,0.014309211,0.219568855,0,951.6660581,0,1
0.95,0.017955083,0.248818808,0,953.4449707,-1,1
1,0.015099397,0.267581462,0,953,-0.251464634,1
1.05,0.014098243,0.269680907,0,952.947133,0,1
1.1,0.016808576,0.29375414,0,952.221102,0,1
1.15,0.01328427,0.276586515,0,950.6150763,0,1
1.2,0.01481976,0.265040593,0,947.8943719,0.072994517,1
1.25,0.014359611,0.260513092,0,946.5,1,1
1.3,0.013875008,0.23871683,0,948,0.245738116,1
1.35,0.015502424,0.219839012,0,948.5,0,1
1.4,0.017000001,0.206761208,0,941,0.412621001,1
1.45,0.014,0.205437804,0,941.3770344,1.734384574,1
1.5,0.015765797,0.222751443,0,942.9041713,1,1
1.55,0.014287614,0.238935674,0,943,1,1
1.6,0.017000001,0.274880621,0,943.5401374,1,1
1.65,0.014231337,0.341868018,0,944.8125469,1,1
1.7,0.017888384,0.367247019,0,947.5,0,1
1.75,0.017658187,0.325635406,0,947.5,0,1
1.8,0.016673284,0.300348014,0,948.6096205,0,1
1.85,0.01488905,0.304783603,0,951.7173311,0,1
1.9,0.020496591,0.307382044,0,953,-1,1
